strikePrice,moneyness,expiryDate,impliedVolatility,skew,ATM_IV
24000,ITM,07-Nov-2024,13.01,0.5899999999999999,12.42
24400,ITM,07-Nov-2024,12.83,0.41000000000000014,12.42
24450,ITM,07-Nov-2024,11.14,-1.2799999999999994,12.42
24500,ITM,07-Nov-2024,13.12,0.6999999999999993,12.42
24600,ITM,07-Nov-2024,12.09,-0.33000000000000007,12.42
24650,ITM,07-Nov-2024,12.64,0.22000000000000064,12.42
24700,ITM,07-Nov-2024,12.46,0.040000000000000924,12.42
24750,ITM,07-Nov-2024,12.47,0.05000000000000071,12.42
24800,ATM,07-Nov-2024,12.42,0.0,12.42
24850,OTM,07-Nov-2024,12.77,0.34999999999999964,12.42
24900,OTM,07-Nov-2024,12.33,-0.08999999999999986,12.42
24950,OTM,07-Nov-2024,12.93,0.5099999999999998,12.42
25000,OTM,07-Nov-2024,12.26,-0.16000000000000014,12.42
25050,OTM,07-Nov-2024,12.09,-0.33000000000000007,12.42
25100,OTM,07-Nov-2024,12.22,-0.1999999999999993,12.42
25150,OTM,07-Nov-2024,12.19,-0.23000000000000043,12.42
25200,OTM,07-Nov-2024,11.97,-0.4499999999999993,12.42
25250,OTM,07-Nov-2024,12.27,-0.15000000000000036,12.42
25300,OTM,07-Nov-2024,12.0,-0.41999999999999993,12.42
25350,OTM,07-Nov-2024,12.2,-0.22000000000000064,12.42
25400,OTM,07-Nov-2024,11.94,-0.4800000000000004,12.42
25450,OTM,07-Nov-2024,12.06,-0.35999999999999943,12.42
25500,OTM,07-Nov-2024,12.05,-0.3699999999999992,12.42
25550,OTM,07-Nov-2024,11.98,-0.4399999999999995,12.42
25600,OTM,07-Nov-2024,12.17,-0.25,12.42
25650,OTM,07-Nov-2024,12.06,-0.35999999999999943,12.42
25700,OTM,07-Nov-2024,12.25,-0.16999999999999993,12.42
25750,OTM,07-Nov-2024,12.67,0.25,12.42
25800,OTM,07-Nov-2024,12.27,-0.15000000000000036,12.42
25850,OTM,07-Nov-2024,12.33,-0.08999999999999986,12.42
25900,OTM,07-Nov-2024,12.58,0.16000000000000014,12.42
25950,OTM,07-Nov-2024,12.85,0.4299999999999997,12.42
26000,OTM,07-Nov-2024,12.91,0.4900000000000002,12.42
26050,OTM,07-Nov-2024,13.51,1.0899999999999999,12.42
26100,OTM,07-Nov-2024,13.31,0.8900000000000006,12.42
26150,OTM,07-Nov-2024,14.41,1.9900000000000002,12.42
26200,OTM,07-Nov-2024,13.69,1.2699999999999996,12.42
26250,OTM,07-Nov-2024,13.78,1.3599999999999994,12.42
26300,OTM,07-Nov-2024,14.09,1.67,12.42
26350,OTM,07-Nov-2024,14.3,1.8800000000000008,12.42
26400,OTM,07-Nov-2024,14.34,1.92,12.42
26450,OTM,07-Nov-2024,14.41,1.9900000000000002,12.42
