strikePrice,expiryDate,impliedVolatility_current,impliedVolatility_baseline,ATM_IV_change,skew_current,skew_baseline,skew_change
24000,07-Nov-2024,10.96,13.01,-0.08051529790660054,-1.4499999999999993,0.5899999999999999,-345.7627118644067
24400,07-Nov-2024,12.83,12.83,-0.08051529790660054,0.4199999999999999,0.41000000000000014,2.439024390243836
24450,07-Nov-2024,11.14,11.14,-0.08051529790660054,-1.2699999999999996,-1.2799999999999994,-0.7812499999999838
24500,07-Nov-2024,12.79,13.12,-0.08051529790660054,0.379999999999999,0.6999999999999993,-45.7142857142858
24600,07-Nov-2024,11.79,12.09,-0.08051529790660054,-0.620000000000001,-0.33000000000000007,87.87878787878815
24650,07-Nov-2024,12.37,12.64,-0.08051529790660054,-0.0400000000000009,0.22000000000000064,-118.18181818181854
24700,07-Nov-2024,12.51,12.46,-0.08051529790660054,0.0999999999999996,0.040000000000000924,149.99999999999324
24750,07-Nov-2024,12.51,12.47,-0.08051529790660054,0.0999999999999996,0.05000000000000071,99.99999999999636
24800,07-Nov-2024,12.41,12.42,-0.08051529790660054,0.0,0.0,
24850,07-Nov-2024,12.77,12.77,-0.08051529790660054,0.3599999999999994,0.34999999999999964,2.8571428571427835
24900,07-Nov-2024,12.18,12.33,-0.08051529790660054,-0.2300000000000004,-0.08999999999999986,155.5555555555564
24950,07-Nov-2024,12.29,12.93,-0.08051529790660054,-0.120000000000001,0.5099999999999998,-123.52941176470608
25000,07-Nov-2024,12.25,12.26,-0.08051529790660054,-0.1600000000000001,-0.16000000000000014,-3.469446951953611e-14
25050,07-Nov-2024,12.08,12.09,-0.08051529790660054,-0.33,-0.33000000000000007,-1.6821560979169034e-14
25100,07-Nov-2024,12.02,12.22,-0.08051529790660054,-0.3900000000000005,-0.1999999999999993,95.00000000000094
25150,07-Nov-2024,12.19,12.19,-0.08051529790660054,-0.2200000000000006,-0.23000000000000043,-4.347826086956433
25200,07-Nov-2024,11.96,11.97,-0.08051529790660054,-0.4499999999999993,-0.4499999999999993,-0.0
25250,07-Nov-2024,12.14,12.27,-0.08051529790660054,-0.2699999999999996,-0.15000000000000036,79.99999999999929
25300,07-Nov-2024,12.03,12.0,-0.08051529790660054,-0.3800000000000008,-0.41999999999999993,-9.523809523809323
25350,07-Nov-2024,12.08,12.2,-0.08051529790660054,-0.33,-0.22000000000000064,49.999999999999574
25400,07-Nov-2024,11.91,11.94,-0.08051529790660054,-0.5,-0.4800000000000004,4.166666666666575
25450,07-Nov-2024,11.95,12.06,-0.08051529790660054,-0.4600000000000008,-0.35999999999999943,27.7777777777782
25500,07-Nov-2024,11.99,12.05,-0.08051529790660054,-0.4199999999999999,-0.3699999999999992,13.51351351351372
25550,07-Nov-2024,12.01,11.98,-0.08051529790660054,-0.4000000000000003,-0.4399999999999995,-9.09090909090892
25600,07-Nov-2024,12.11,12.17,-0.08051529790660054,-0.3000000000000007,-0.25,20.000000000000284
25650,07-Nov-2024,11.97,12.06,-0.08051529790660054,-0.4399999999999995,-0.35999999999999943,22.22222222222228
25700,07-Nov-2024,12.11,12.25,-0.08051529790660054,-0.3000000000000007,-0.16999999999999993,76.47058823529461
25750,07-Nov-2024,12.15,12.67,-0.08051529790660054,-0.2599999999999998,0.25,-203.99999999999991
25800,07-Nov-2024,12.29,12.27,-0.08051529790660054,-0.120000000000001,-0.15000000000000036,-19.999999999999527
