strikePrice,expiryDate,impliedVolatility
18500,26-Dec-2024,45.35
22500,31-Oct-2024,32.08
23000,31-Oct-2024,27.73
23000,26-Dec-2024,12.69
23100,31-Oct-2024,28.83
23200,24-Oct-2024,32.82
23300,31-Oct-2024,22.75
23500,24-Oct-2024,26.5
23500,31-Oct-2024,22.94
23500,28-Nov-2024,12.97
23500,26-Dec-2024,12.55
23600,24-Oct-2024,24.81
23700,24-Oct-2024,25.24
23700,31-Oct-2024,19.95
23800,24-Oct-2024,22.66
23800,31-Oct-2024,18.54
23800,28-Nov-2024,10.88
23850,24-Oct-2024,16.57
23850,31-Oct-2024,15.46
23900,31-Oct-2024,18.97
23950,31-Oct-2024,18.43
23950,28-Nov-2024,13.87
24000,24-Oct-2024,20.33
24000,31-Oct-2024,18.02
24000,07-Nov-2024,13.42
24000,28-Nov-2024,13.5
24000,26-Dec-2024,13.23
24000,27-Mar-2025,8.43
24050,24-Oct-2024,20.13
24050,31-Oct-2024,14.84
24050,28-Nov-2024,12.54
24100,24-Oct-2024,19.27
24100,31-Oct-2024,16.82
24100,28-Nov-2024,12.77
24150,24-Oct-2024,17.39
24150,31-Oct-2024,15.36
24200,24-Oct-2024,17.83
24200,31-Oct-2024,15.39
24200,28-Nov-2024,13.94
24200,26-Dec-2024,7.72
24250,24-Oct-2024,16.58
24250,31-Oct-2024,15.9
24250,28-Nov-2024,14.07
24250,26-Dec-2024,9.96
24300,24-Oct-2024,16.06
24300,31-Oct-2024,14.68
24300,07-Nov-2024,15.56
24300,28-Nov-2024,11.97
24300,26-Dec-2024,10.53
24350,24-Oct-2024,15.21
24350,31-Oct-2024,15.5
24350,28-Nov-2024,13.47
24350,26-Dec-2024,9.52
24400,24-Oct-2024,15.06
24400,31-Oct-2024,14.34
24400,07-Nov-2024,13.52
24400,28-Nov-2024,13.33
24400,26-Dec-2024,12.96
24450,24-Oct-2024,14.69
24450,31-Oct-2024,13.9
24450,07-Nov-2024,13.49
24450,28-Nov-2024,13.15
24450,26-Dec-2024,9.05
24500,24-Oct-2024,14.09
24500,31-Oct-2024,13.96
24500,07-Nov-2024,13.75
24500,14-Nov-2024,14.22
24500,28-Nov-2024,13.25
24500,26-Dec-2024,12.74
24550,24-Oct-2024,13.61
24550,31-Oct-2024,13.46
