strikePrice,expiryDate,impliedVolatility
14000,26-Dec-2024,55.34
15000,26-Dec-2024,49.56
16000,26-Dec-2024,44.28
17000,26-Dec-2024,39.44
18000,26-Dec-2024,34.74
19000,26-Dec-2024,30.21
20000,26-Dec-2024,26.59
20000,27-Mar-2025,22.89
21000,26-Dec-2024,23.46
21000,27-Mar-2025,21.51
21000,24-Dec-2025,20.86
22000,26-Dec-2024,19.96
22000,27-Mar-2025,18.65
22000,24-Dec-2025,20.33
22250,31-Oct-2024,24.64
22300,31-Oct-2024,24.89
22350,31-Oct-2024,24.68
22400,31-Oct-2024,24.01
22450,31-Oct-2024,23.52
22500,31-Oct-2024,23.18
22550,31-Oct-2024,23.04
22600,31-Oct-2024,22.91
22650,31-Oct-2024,22.27
22700,31-Oct-2024,22.43
22750,31-Oct-2024,21.8
22800,31-Oct-2024,21.73
22850,31-Oct-2024,21.21
22900,31-Oct-2024,21.16
22950,31-Oct-2024,20.55
23000,24-Oct-2024,25.51
23000,31-Oct-2024,20.38
23000,07-Nov-2024,18.89
23000,28-Nov-2024,17.63
23000,26-Dec-2024,17.5
23000,27-Mar-2025,17.17
23000,26-Jun-2025,17.75
23000,24-Dec-2025,20.3
23050,24-Oct-2024,25.25
23050,31-Oct-2024,19.54
23050,07-Nov-2024,18.32
23100,24-Oct-2024,24.27
23100,31-Oct-2024,19.49
23100,28-Nov-2024,16.92
23150,24-Oct-2024,24.07
23150,31-Oct-2024,19.23
23150,07-Nov-2024,18.27
23200,24-Oct-2024,23.8
23200,31-Oct-2024,18.73
23200,07-Nov-2024,17.5
23200,14-Nov-2024,17.76
23200,28-Nov-2024,16.65
23200,26-Dec-2024,17.16
23250,24-Oct-2024,22.48
23250,31-Oct-2024,18.55
23250,28-Nov-2024,16.77
23300,24-Oct-2024,22.53
23300,31-Oct-2024,18.17
23300,07-Nov-2024,17.06
23300,28-Nov-2024,16.5
23350,24-Oct-2024,21.55
23350,31-Oct-2024,18.08
23350,28-Nov-2024,16.45
23400,24-Oct-2024,21.51
23400,31-Oct-2024,17.66
23400,07-Nov-2024,17.4
23400,28-Nov-2024,16.33
23450,24-Oct-2024,21.01
23450,31-Oct-2024,17.39
23450,21-Nov-2024,18.06
23450,28-Nov-2024,16.17
23500,24-Oct-2024,20.63
23500,31-Oct-2024,17.27
23500,07-Nov-2024,16.73
23500,14-Nov-2024,16.65
23500,28-Nov-2024,16.13
23500,26-Dec-2024,16.54
23550,24-Oct-2024,19.8
23550,31-Oct-2024,16.84
23550,28-Nov-2024,15.95
23600,24-Oct-2024,19.27
23600,31-Oct-2024,16.45
23600,07-Nov-2024,16.43
23600,14-Nov-2024,16.01
23600,28-Nov-2024,15.79
23600,26-Dec-2024,16.19
23650,24-Oct-2024,19.07
23650,31-Oct-2024,16.2
23650,28-Nov-2024,15.77
23700,24-Oct-2024,18.18
23700,31-Oct-2024,15.72
23700,07-Nov-2024,15.87
23700,28-Nov-2024,15.57
23700,26-Dec-2024,15.93
23750,24-Oct-2024,17.86
23750,31-Oct-2024,15.33
23750,07-Nov-2024,15.62
23750,28-Nov-2024,15.63
23800,24-Oct-2024,17.21
23800,31-Oct-2024,15.37
23800,07-Nov-2024,15.4
23800,14-Nov-2024,15.26
23800,28-Nov-2024,15.31
23800,26-Dec-2024,15.7
23850,24-Oct-2024,17.1
23850,31-Oct-2024,14.88
23850,07-Nov-2024,15.61
23850,28-Nov-2024,15.37
23900,24-Oct-2024,16.85
23900,31-Oct-2024,14.86
23900,07-Nov-2024,15.19
23900,28-Nov-2024,15.15
23900,26-Dec-2024,15.59
23950,24-Oct-2024,16.57
23950,31-Oct-2024,14.61
23950,07-Nov-2024,15.5
23950,28-Nov-2024,15.1
24000,24-Oct-2024,16.09
24000,31-Oct-2024,14.4
24000,07-Nov-2024,14.49
24000,14-Nov-2024,14.97
24000,21-Nov-2024,17.14
24000,28-Nov-2024,15.11
24000,26-Dec-2024,15.58
24000,27-Mar-2025,16.19
24000,26-Jun-2025,17.06
24000,24-Dec-2025,20.17
24050,24-Oct-2024,15.5
24050,31-Oct-2024,14.15
24050,07-Nov-2024,16.54
24050,28-Nov-2024,15.11
24050,26-Dec-2024,15.59
24100,24-Oct-2024,14.98
24100,31-Oct-2024,13.74
24100,07-Nov-2024,14.16
24100,28-Nov-2024,14.76
24100,26-Dec-2024,15.39
24150,24-Oct-2024,14.79
24150,31-Oct-2024,13.4
24150,28-Nov-2024,14.84
24150,26-Dec-2024,15.32
24200,24-Oct-2024,14.33
24200,31-Oct-2024,13.19
24200,07-Nov-2024,13.79
24200,21-Nov-2024,18.39
24200,28-Nov-2024,14.57
24200,26-Dec-2024,15.12
24250,24-Oct-2024,14.0
24250,31-Oct-2024,13.0
24250,07-Nov-2024,13.51
24250,28-Nov-2024,14.76
24300,24-Oct-2024,13.57
24300,31-Oct-2024,12.68
24300,07-Nov-2024,13.35
24300,14-Nov-2024,14.09
24300,28-Nov-2024,14.47
24300,26-Dec-2024,14.96
24350,24-Oct-2024,13.23
24350,31-Oct-2024,12.74
24350,07-Nov-2024,13.44
24350,28-Nov-2024,14.4
24350,26-Dec-2024,17.19
24400,24-Oct-2024,12.88
24400,31-Oct-2024,12.3
24400,07-Nov-2024,13.17
24400,14-Nov-2024,13.87
24400,28-Nov-2024,14.23
24400,26-Dec-2024,14.68
24450,24-Oct-2024,12.39
24450,31-Oct-2024,12.04
24450,07-Nov-2024,12.91
24450,14-Nov-2024,15.72
24450,28-Nov-2024,14.29
24500,24-Oct-2024,12.23
24500,31-Oct-2024,11.92
24500,07-Nov-2024,12.9
24500,14-Nov-2024,13.52
24500,21-Nov-2024,14.17
24500,28-Nov-2024,14.14
24500,26-Dec-2024,14.72
24550,24-Oct-2024,11.83
24550,31-Oct-2024,11.94
24550,07-Nov-2024,12.9
24550,28-Nov-2024,14.13
24550,26-Dec-2024,17.21
24600,24-Oct-2024,11.58
24600,31-Oct-2024,11.45
24600,07-Nov-2024,12.3
24600,14-Nov-2024,13.32
24600,28-Nov-2024,14.04
24600,26-Dec-2024,14.55
24650,24-Oct-2024,11.27
24650,31-Oct-2024,11.21
24650,07-Nov-2024,12.48
24650,28-Nov-2024,13.94
24700,24-Oct-2024,10.97
24700,31-Oct-2024,11.18
24700,07-Nov-2024,12.28
24700,14-Nov-2024,13.16
24700,21-Nov-2024,13.49
24700,28-Nov-2024,13.86
24700,26-Dec-2024,14.43
24750,24-Oct-2024,10.59
24750,31-Oct-2024,10.84
24750,07-Nov-2024,12.25
24750,28-Nov-2024,13.77
24750,26-Dec-2024,14.29
24800,24-Oct-2024,10.36
24800,31-Oct-2024,10.75
24800,07-Nov-2024,12.05
24800,14-Nov-2024,12.92
24800,28-Nov-2024,13.58
24800,26-Dec-2024,14.37
24850,24-Oct-2024,10.18
24850,31-Oct-2024,10.64
24850,07-Nov-2024,12.06
24850,14-Nov-2024,13.09
24850,21-Nov-2024,13.65
24850,28-Nov-2024,13.52
24850,26-Dec-2024,14.17
24900,24-Oct-2024,9.8
24900,31-Oct-2024,10.46
24900,07-Nov-2024,11.93
24900,14-Nov-2024,12.58
24900,28-Nov-2024,13.54
24900,26-Dec-2024,14.23
24950,24-Oct-2024,9.47
24950,31-Oct-2024,10.39
24950,07-Nov-2024,12.14
24950,14-Nov-2024,12.84
24950,28-Nov-2024,13.33
24950,26-Dec-2024,14.0
25000,24-Oct-2024,9.28
25000,31-Oct-2024,10.14
25000,07-Nov-2024,11.7
25000,14-Nov-2024,12.5
25000,28-Nov-2024,13.23
25000,26-Dec-2024,14.12
25000,27-Mar-2025,15.61
25000,26-Jun-2025,16.96
25000,24-Dec-2025,19.87
25050,24-Oct-2024,8.89
25050,31-Oct-2024,9.77
25050,07-Nov-2024,11.69
25050,14-Nov-2024,12.73
25050,28-Nov-2024,13.27
25050,26-Dec-2024,13.82
25100,24-Oct-2024,8.57
25100,31-Oct-2024,9.65
25100,07-Nov-2024,11.48
25100,14-Nov-2024,12.52
25100,28-Nov-2024,13.22
25100,26-Dec-2024,13.9
25150,24-Oct-2024,8.35
25150,31-Oct-2024,9.61
25150,07-Nov-2024,10.95
25150,28-Nov-2024,12.98
25200,24-Oct-2024,8.11
25200,31-Oct-2024,9.23
25200,07-Nov-2024,11.14
25200,14-Nov-2024,12.68
25200,28-Nov-2024,12.97
25200,26-Dec-2024,13.95
25250,24-Oct-2024,7.85
25250,31-Oct-2024,8.92
25250,07-Nov-2024,11.42
25250,28-Nov-2024,12.99
25250,26-Dec-2024,13.91
25300,24-Oct-2024,5.89
25300,31-Oct-2024,9.0
25300,07-Nov-2024,10.76
25300,28-Nov-2024,12.78
25300,26-Dec-2024,13.76
25350,31-Oct-2024,10.22
25350,28-Nov-2024,12.71
25350,26-Dec-2024,13.6
25400,31-Oct-2024,8.47
25400,07-Nov-2024,10.61
25400,28-Nov-2024,12.64
25400,26-Dec-2024,13.53
25450,31-Oct-2024,8.23
25450,28-Nov-2024,13.12
25450,26-Dec-2024,14.59
25500,31-Oct-2024,6.17
25500,07-Nov-2024,11.43
25500,28-Nov-2024,12.66
25500,26-Dec-2024,13.59
25550,31-Oct-2024,8.38
25550,28-Nov-2024,13.03
25550,26-Dec-2024,14.33
25600,07-Nov-2024,11.2
25600,28-Nov-2024,12.54
25600,26-Dec-2024,13.09
25650,24-Oct-2024,14.68
25650,28-Nov-2024,12.52
25700,07-Nov-2024,9.43
25700,28-Nov-2024,12.39
25700,26-Dec-2024,13.64
25750,31-Oct-2024,10.18
25750,07-Nov-2024,12.1
25800,28-Nov-2024,12.33
25800,26-Dec-2024,13.86
25900,28-Nov-2024,12.07
25900,26-Dec-2024,13.86
25950,26-Dec-2024,16.34
26000,28-Nov-2024,12.41
26000,26-Dec-2024,12.97
26000,27-Mar-2025,15.3
26000,26-Jun-2025,17.2
26000,24-Dec-2025,19.49
26050,31-Oct-2024,32.65
26100,28-Nov-2024,17.59
26100,26-Dec-2024,16.33
26150,24-Oct-2024,22.95
26150,28-Nov-2024,14.57
26200,24-Oct-2024,21.98
26200,28-Nov-2024,12.48
26200,26-Dec-2024,15.99
26250,28-Nov-2024,18.45
26250,26-Dec-2024,17.61
26300,28-Nov-2024,13.56
26350,31-Oct-2024,17.04
26400,24-Oct-2024,21.89
26400,28-Nov-2024,15.12
26400,26-Dec-2024,19.05
26500,28-Nov-2024,12.57
26500,26-Dec-2024,12.12
26800,28-Nov-2024,26.52
26900,31-Oct-2024,48.37
26950,24-Oct-2024,33.88
27000,28-Nov-2024,14.33
27000,26-Dec-2024,13.82
27000,27-Mar-2025,15.54
27000,24-Dec-2025,19.92
27100,24-Oct-2024,35.61
27200,24-Oct-2024,36.8
27200,28-Nov-2024,27.17
27300,24-Oct-2024,38.58
27450,24-Oct-2024,78.59
27500,26-Dec-2024,23.62
27700,31-Oct-2024,54.39
27750,24-Oct-2024,43.1
27800,24-Oct-2024,41.41
27900,31-Oct-2024,48.83
28000,26-Dec-2024,17.3
28000,27-Mar-2025,16.93
28000,24-Dec-2025,20.01
29000,26-Dec-2024,21.39
29000,27-Mar-2025,18.03
30000,26-Dec-2024,23.64
30000,27-Mar-2025,20.41
31000,26-Dec-2024,31.38
