strikePrice,moneyness,expiryDate,impliedVolatility,skew,ATM_IV
24000,ITM,07-Nov-2024,13.42,0.35999999999999943,13.06
24300,ITM,07-Nov-2024,15.56,2.5,13.06
24400,ITM,07-Nov-2024,13.52,0.4599999999999991,13.06
24450,ITM,07-Nov-2024,13.49,0.4299999999999997,13.06
24500,ITM,07-Nov-2024,13.75,0.6899999999999995,13.06
24600,ITM,07-Nov-2024,13.96,0.9000000000000004,13.06
24650,ITM,07-Nov-2024,13.42,0.35999999999999943,13.06
24700,ITM,07-Nov-2024,13.24,0.17999999999999972,13.06
24750,ITM,07-Nov-2024,12.98,-0.08000000000000007,13.06
24800,ATM,07-Nov-2024,13.06,0.0,13.06
24850,OTM,07-Nov-2024,12.96,-0.09999999999999964,13.06
24900,OTM,07-Nov-2024,12.51,-0.5500000000000007,13.06
24950,OTM,07-Nov-2024,12.26,-0.8000000000000007,13.06
25000,OTM,07-Nov-2024,12.29,-0.7700000000000014,13.06
25050,OTM,07-Nov-2024,12.28,-0.7800000000000011,13.06
25100,OTM,07-Nov-2024,11.85,-1.2100000000000009,13.06
25150,OTM,07-Nov-2024,11.92,-1.1400000000000006,13.06
25200,OTM,07-Nov-2024,11.85,-1.2100000000000009,13.06
25250,OTM,07-Nov-2024,11.85,-1.2100000000000009,13.06
25300,OTM,07-Nov-2024,11.56,-1.5,13.06
25350,OTM,07-Nov-2024,11.6,-1.4600000000000009,13.06
25400,OTM,07-Nov-2024,11.6,-1.4600000000000009,13.06
25450,OTM,07-Nov-2024,11.48,-1.58,13.06
25500,OTM,07-Nov-2024,11.59,-1.4700000000000006,13.06
25550,OTM,07-Nov-2024,11.34,-1.7200000000000006,13.06
25600,OTM,07-Nov-2024,11.34,-1.7200000000000006,13.06
25650,OTM,07-Nov-2024,11.41,-1.6500000000000004,13.06
25700,OTM,07-Nov-2024,11.27,-1.790000000000001,13.06
25750,OTM,07-Nov-2024,11.63,-1.4299999999999997,13.06
25800,OTM,07-Nov-2024,11.47,-1.5899999999999999,13.06
25850,OTM,07-Nov-2024,11.29,-1.7700000000000014,13.06
25900,OTM,07-Nov-2024,11.63,-1.4299999999999997,13.06
25950,OTM,07-Nov-2024,11.72,-1.3399999999999999,13.06
26000,OTM,07-Nov-2024,12.05,-1.0099999999999998,13.06
26050,OTM,07-Nov-2024,11.8,-1.2599999999999998,13.06
26100,OTM,07-Nov-2024,12.31,-0.75,13.06
26150,OTM,07-Nov-2024,12.27,-0.7900000000000009,13.06
26200,OTM,07-Nov-2024,12.47,-0.5899999999999999,13.06
26250,OTM,07-Nov-2024,13.03,-0.030000000000001137,13.06
26300,OTM,07-Nov-2024,13.18,0.11999999999999922,13.06
26350,OTM,07-Nov-2024,13.09,0.02999999999999936,13.06
26400,OTM,07-Nov-2024,13.29,0.22999999999999865,13.06
26450,OTM,07-Nov-2024,13.39,0.33000000000000007,13.06
26500,OTM,07-Nov-2024,13.38,0.3200000000000003,13.06
26550,OTM,07-Nov-2024,13.49,0.4299999999999997,13.06
26600,OTM,07-Nov-2024,13.56,0.5,13.06
26650,OTM,07-Nov-2024,14.54,1.4799999999999986,13.06
26700,OTM,07-Nov-2024,14.32,1.2599999999999998,13.06
26750,OTM,07-Nov-2024,14.7,1.6399999999999988,13.06
26800,OTM,07-Nov-2024,14.53,1.4699999999999989,13.06
26850,OTM,07-Nov-2024,14.73,1.67,13.06
26900,OTM,07-Nov-2024,14.96,1.9000000000000004,13.06
26950,OTM,07-Nov-2024,15.08,2.0199999999999996,13.06
27000,OTM,07-Nov-2024,15.31,2.25,13.06
24500,ITM,14-Nov-2024,14.22,0.7700000000000014,13.45
24650,ITM,14-Nov-2024,11.99,-1.459999999999999,13.45
24700,ITM,14-Nov-2024,13.51,0.0600000000000005,13.45
24750,ITM,14-Nov-2024,12.64,-0.8099999999999987,13.45
24800,ATM,14-Nov-2024,13.45,0.0,13.45
24850,OTM,14-Nov-2024,10.67,-2.7799999999999994,13.45
24900,OTM,14-Nov-2024,12.97,-0.47999999999999865,13.45
24950,OTM,14-Nov-2024,13.01,-0.4399999999999995,13.45
25000,OTM,14-Nov-2024,12.9,-0.5499999999999989,13.45
25100,OTM,14-Nov-2024,12.11,-1.3399999999999999,13.45
25150,OTM,14-Nov-2024,12.38,-1.0699999999999985,13.45
25200,OTM,14-Nov-2024,12.51,-0.9399999999999995,13.45
25250,OTM,14-Nov-2024,12.21,-1.2399999999999984,13.45
25300,OTM,14-Nov-2024,12.22,-1.2299999999999986,13.45
25350,OTM,14-Nov-2024,12.82,-0.629999999999999,13.45
25400,OTM,14-Nov-2024,12.15,-1.299999999999999,13.45
25500,OTM,14-Nov-2024,11.98,-1.4699999999999989,13.45
25600,OTM,14-Nov-2024,12.09,-1.3599999999999994,13.45
25650,OTM,14-Nov-2024,10.91,-2.539999999999999,13.45
25700,OTM,14-Nov-2024,11.73,-1.7199999999999989,13.45
25750,OTM,14-Nov-2024,12.05,-1.3999999999999986,13.45
25800,OTM,14-Nov-2024,11.73,-1.7199999999999989,13.45
25900,OTM,14-Nov-2024,11.63,-1.8199999999999985,13.45
26000,OTM,14-Nov-2024,11.72,-1.7299999999999986,13.45
26050,OTM,14-Nov-2024,12.04,-1.4100000000000001,13.45
26100,OTM,14-Nov-2024,12.09,-1.3599999999999994,13.45
26200,OTM,14-Nov-2024,11.74,-1.709999999999999,13.45
26250,OTM,14-Nov-2024,11.47,-1.9799999999999986,13.45
26300,OTM,14-Nov-2024,11.82,-1.629999999999999,13.45
26400,OTM,14-Nov-2024,12.45,-1.0,13.45
26500,OTM,14-Nov-2024,12.21,-1.2399999999999984,13.45
26550,OTM,14-Nov-2024,12.92,-0.5299999999999994,13.45
26600,OTM,14-Nov-2024,13.41,-0.03999999999999915,13.45
26650,OTM,14-Nov-2024,12.99,-0.4599999999999991,13.45
26750,OTM,14-Nov-2024,13.42,-0.02999999999999936,13.45
26900,OTM,14-Nov-2024,13.41,-0.03999999999999915,13.45
24750,ITM,21-Nov-2024,13.14,0.7599999999999998,12.38
24800,ATM,21-Nov-2024,12.38,0.0,12.38
24850,OTM,21-Nov-2024,13.52,1.1399999999999988,12.38
25000,OTM,21-Nov-2024,12.07,-0.3100000000000005,12.38
25200,OTM,21-Nov-2024,12.02,-0.3600000000000012,12.38
25800,OTM,21-Nov-2024,14.18,1.799999999999999,12.38
25950,OTM,21-Nov-2024,11.43,-0.9500000000000011,12.38
26050,OTM,21-Nov-2024,11.71,-0.6699999999999999,12.38
26100,OTM,21-Nov-2024,12.11,-0.27000000000000135,12.38
26500,OTM,21-Nov-2024,12.2,-0.1800000000000015,12.38
23200,ITM,24-Oct-2024,32.82,21.34,11.48
23500,ITM,24-Oct-2024,26.5,15.02,11.48
23600,ITM,24-Oct-2024,24.81,13.329999999999998,11.48
23700,ITM,24-Oct-2024,25.24,13.759999999999998,11.48
23800,ITM,24-Oct-2024,22.66,11.18,11.48
23850,ITM,24-Oct-2024,16.57,5.09,11.48
24000,ITM,24-Oct-2024,20.33,8.849999999999998,11.48
24050,ITM,24-Oct-2024,20.13,8.649999999999999,11.48
24100,ITM,24-Oct-2024,19.27,7.789999999999999,11.48
24150,ITM,24-Oct-2024,17.39,5.91,11.48
24200,ITM,24-Oct-2024,17.83,6.349999999999998,11.48
24250,ITM,24-Oct-2024,16.58,5.099999999999998,11.48
24300,ITM,24-Oct-2024,16.06,4.579999999999998,11.48
24350,ITM,24-Oct-2024,15.21,3.7300000000000004,11.48
24400,ITM,24-Oct-2024,15.06,3.58,11.48
24450,ITM,24-Oct-2024,14.69,3.209999999999999,11.48
24500,ITM,24-Oct-2024,14.09,2.6099999999999994,11.48
24550,ITM,24-Oct-2024,13.61,2.129999999999999,11.48
24600,ITM,24-Oct-2024,13.12,1.6399999999999988,11.48
24650,ITM,24-Oct-2024,12.71,1.2300000000000004,11.48
24700,ITM,24-Oct-2024,12.03,0.5499999999999989,11.48
24750,ITM,24-Oct-2024,11.64,0.16000000000000014,11.48
24800,ATM,24-Oct-2024,11.48,0.0,11.48
24850,OTM,24-Oct-2024,11.06,-0.41999999999999993,11.48
24900,OTM,24-Oct-2024,10.97,-0.5099999999999998,11.48
24950,OTM,24-Oct-2024,10.66,-0.8200000000000003,11.48
25000,OTM,24-Oct-2024,10.43,-1.0500000000000007,11.48
25050,OTM,24-Oct-2024,10.11,-1.370000000000001,11.48
25100,OTM,24-Oct-2024,10.06,-1.42,11.48
25150,OTM,24-Oct-2024,9.87,-1.6100000000000012,11.48
25200,OTM,24-Oct-2024,9.86,-1.620000000000001,11.48
25250,OTM,24-Oct-2024,9.68,-1.8000000000000007,11.48
25300,OTM,24-Oct-2024,9.73,-1.75,11.48
25350,OTM,24-Oct-2024,9.83,-1.6500000000000004,11.48
25400,OTM,24-Oct-2024,9.78,-1.700000000000001,11.48
25450,OTM,24-Oct-2024,9.96,-1.5199999999999996,11.48
25500,OTM,24-Oct-2024,10.29,-1.1900000000000013,11.48
25550,OTM,24-Oct-2024,10.36,-1.120000000000001,11.48
25600,OTM,24-Oct-2024,10.66,-0.8200000000000003,11.48
25650,OTM,24-Oct-2024,11.15,-0.33000000000000007,11.48
25700,OTM,24-Oct-2024,11.5,0.019999999999999574,11.48
25750,OTM,24-Oct-2024,11.75,0.2699999999999996,11.48
25800,OTM,24-Oct-2024,12.28,0.7999999999999989,11.48
25850,OTM,24-Oct-2024,13.06,1.58,11.48
