strikePrice,moneyness,expiryDate,impliedVolatility,skew,ATM_IV
23000,ITM,07-Nov-2024,18.89,6.84,12.05
23050,ITM,07-Nov-2024,18.32,6.27,12.05
23150,ITM,07-Nov-2024,18.27,6.219999999999999,12.05
23200,ITM,07-Nov-2024,17.5,5.449999999999999,12.05
23300,ITM,07-Nov-2024,17.06,5.009999999999998,12.05
23400,ITM,07-Nov-2024,17.4,5.349999999999998,12.05
23500,ITM,07-Nov-2024,16.73,4.68,12.05
23600,ITM,07-Nov-2024,16.43,4.379999999999999,12.05
23700,ITM,07-Nov-2024,15.87,3.8199999999999985,12.05
23750,ITM,07-Nov-2024,15.62,3.5699999999999985,12.05
23800,ITM,07-Nov-2024,15.4,3.3499999999999996,12.05
23850,ITM,07-Nov-2024,15.61,3.5599999999999987,12.05
23900,ITM,07-Nov-2024,15.19,3.139999999999999,12.05
23950,ITM,07-Nov-2024,15.5,3.4499999999999993,12.05
24000,ITM,07-Nov-2024,14.49,2.4399999999999995,12.05
24050,ITM,07-Nov-2024,16.54,4.489999999999998,12.05
24100,ITM,07-Nov-2024,14.16,2.1099999999999994,12.05
24200,ITM,07-Nov-2024,13.79,1.7399999999999984,12.05
24250,ITM,07-Nov-2024,13.51,1.459999999999999,12.05
24300,ITM,07-Nov-2024,13.35,1.299999999999999,12.05
24350,ITM,07-Nov-2024,13.44,1.3899999999999988,12.05
24400,ITM,07-Nov-2024,13.17,1.1199999999999992,12.05
24450,ITM,07-Nov-2024,12.91,0.8599999999999994,12.05
24500,ITM,07-Nov-2024,12.9,0.8499999999999996,12.05
24550,ITM,07-Nov-2024,12.9,0.8499999999999996,12.05
24600,ITM,07-Nov-2024,12.3,0.25,12.05
24650,ITM,07-Nov-2024,12.48,0.4299999999999997,12.05
24700,ITM,07-Nov-2024,12.28,0.22999999999999865,12.05
24750,ITM,07-Nov-2024,12.25,0.1999999999999993,12.05
24800,ATM,07-Nov-2024,12.05,0.0,12.05
24850,OTM,07-Nov-2024,12.06,0.009999999999999787,12.05
24900,OTM,07-Nov-2024,11.93,-0.120000000000001,12.05
24950,OTM,07-Nov-2024,12.14,0.08999999999999986,12.05
25000,OTM,07-Nov-2024,11.7,-0.3500000000000014,12.05
25050,OTM,07-Nov-2024,11.69,-0.3600000000000012,12.05
25100,OTM,07-Nov-2024,11.48,-0.5700000000000003,12.05
25150,OTM,07-Nov-2024,10.95,-1.1000000000000014,12.05
25200,OTM,07-Nov-2024,11.14,-0.9100000000000001,12.05
25250,OTM,07-Nov-2024,11.42,-0.6300000000000008,12.05
25300,OTM,07-Nov-2024,10.76,-1.290000000000001,12.05
25400,OTM,07-Nov-2024,10.61,-1.4400000000000013,12.05
25500,OTM,07-Nov-2024,11.43,-0.620000000000001,12.05
25600,OTM,07-Nov-2024,11.2,-0.8500000000000014,12.05
25700,OTM,07-Nov-2024,9.43,-2.620000000000001,12.05
25750,OTM,07-Nov-2024,12.1,0.049999999999998934,12.05
23200,ITM,14-Nov-2024,17.76,4.840000000000002,12.92
23500,ITM,14-Nov-2024,16.65,3.7299999999999986,12.92
23600,ITM,14-Nov-2024,16.01,3.0900000000000016,12.92
23800,ITM,14-Nov-2024,15.26,2.34,12.92
24000,ITM,14-Nov-2024,14.97,2.0500000000000007,12.92
24300,ITM,14-Nov-2024,14.09,1.17,12.92
24400,ITM,14-Nov-2024,13.87,0.9499999999999993,12.92
24450,ITM,14-Nov-2024,15.72,2.8000000000000007,12.92
24500,ITM,14-Nov-2024,13.52,0.5999999999999996,12.92
24600,ITM,14-Nov-2024,13.32,0.40000000000000036,12.92
24700,ITM,14-Nov-2024,13.16,0.2400000000000002,12.92
24800,ATM,14-Nov-2024,12.92,0.0,12.92
24850,OTM,14-Nov-2024,13.09,0.16999999999999993,12.92
24900,OTM,14-Nov-2024,12.58,-0.33999999999999986,12.92
24950,OTM,14-Nov-2024,12.84,-0.08000000000000007,12.92
25000,OTM,14-Nov-2024,12.5,-0.41999999999999993,12.92
25050,OTM,14-Nov-2024,12.73,-0.1899999999999995,12.92
25100,OTM,14-Nov-2024,12.52,-0.40000000000000036,12.92
25200,OTM,14-Nov-2024,12.68,-0.2400000000000002,12.92
23000,ITM,24-Oct-2024,25.51,15.150000000000002,10.36
23050,ITM,24-Oct-2024,25.25,14.89,10.36
23100,ITM,24-Oct-2024,24.27,13.91,10.36
23150,ITM,24-Oct-2024,24.07,13.71,10.36
23200,ITM,24-Oct-2024,23.8,13.440000000000001,10.36
23250,ITM,24-Oct-2024,22.48,12.120000000000001,10.36
23300,ITM,24-Oct-2024,22.53,12.170000000000002,10.36
23350,ITM,24-Oct-2024,21.55,11.190000000000001,10.36
23400,ITM,24-Oct-2024,21.51,11.150000000000002,10.36
23450,ITM,24-Oct-2024,21.01,10.650000000000002,10.36
23500,ITM,24-Oct-2024,20.63,10.27,10.36
23550,ITM,24-Oct-2024,19.8,9.440000000000001,10.36
23600,ITM,24-Oct-2024,19.27,8.91,10.36
23650,ITM,24-Oct-2024,19.07,8.71,10.36
23700,ITM,24-Oct-2024,18.18,7.82,10.36
23750,ITM,24-Oct-2024,17.86,7.5,10.36
23800,ITM,24-Oct-2024,17.21,6.850000000000001,10.36
23850,ITM,24-Oct-2024,17.1,6.740000000000002,10.36
23900,ITM,24-Oct-2024,16.85,6.490000000000002,10.36
23950,ITM,24-Oct-2024,16.57,6.210000000000001,10.36
24000,ITM,24-Oct-2024,16.09,5.73,10.36
24050,ITM,24-Oct-2024,15.5,5.140000000000001,10.36
24100,ITM,24-Oct-2024,14.98,4.620000000000001,10.36
24150,ITM,24-Oct-2024,14.79,4.43,10.36
24200,ITM,24-Oct-2024,14.33,3.9700000000000006,10.36
24250,ITM,24-Oct-2024,14.0,3.6400000000000006,10.36
24300,ITM,24-Oct-2024,13.57,3.210000000000001,10.36
24350,ITM,24-Oct-2024,13.23,2.870000000000001,10.36
24400,ITM,24-Oct-2024,12.88,2.5200000000000014,10.36
24450,ITM,24-Oct-2024,12.39,2.030000000000001,10.36
24500,ITM,24-Oct-2024,12.23,1.870000000000001,10.36
24550,ITM,24-Oct-2024,11.83,1.4700000000000006,10.36
24600,ITM,24-Oct-2024,11.58,1.2200000000000006,10.36
24650,ITM,24-Oct-2024,11.27,0.9100000000000001,10.36
24700,ITM,24-Oct-2024,10.97,0.6100000000000012,10.36
24750,ITM,24-Oct-2024,10.59,0.23000000000000043,10.36
24800,ATM,24-Oct-2024,10.36,0.0,10.36
24850,OTM,24-Oct-2024,10.18,-0.17999999999999972,10.36
24900,OTM,24-Oct-2024,9.8,-0.5599999999999987,10.36
24950,OTM,24-Oct-2024,9.47,-0.8899999999999988,10.36
25000,OTM,24-Oct-2024,9.28,-1.08,10.36
25050,OTM,24-Oct-2024,8.89,-1.4699999999999989,10.36
25100,OTM,24-Oct-2024,8.57,-1.7899999999999991,10.36
25150,OTM,24-Oct-2024,8.35,-2.01,10.36
25200,OTM,24-Oct-2024,8.11,-2.25,10.36
25250,OTM,24-Oct-2024,7.85,-2.51,10.36
25300,OTM,24-Oct-2024,5.89,-4.47,10.36
25650,OTM,24-Oct-2024,14.68,4.32,10.36
26150,OTM,24-Oct-2024,22.95,12.59,10.36
26200,OTM,24-Oct-2024,21.98,11.620000000000001,10.36
26400,OTM,24-Oct-2024,21.89,11.530000000000001,10.36
26950,OTM,24-Oct-2024,33.88,23.520000000000003,10.36
27100,OTM,24-Oct-2024,35.61,25.25,10.36
27200,OTM,24-Oct-2024,36.8,26.439999999999998,10.36
